2017-07-18	446877	37462385	48219294	17442629
2017-07-19	435580	37363713	48311012	17477356
2017-07-20	427910	37339733	48349525	17497659
2017-07-21	380278	37191613	48408620	17519045
2017-07-22	489539	37154245	48481030	17541689
2017-07-23	392197	36980432	48527231	17557832
2017-07-24	444393	36643370	48502274	17558182
2017-07-25	468899	36628647	48770093	17684131
2017-07-26	513581	36780780	48866852	17721424
2017-07-27	420758	36971535	48994620	17760412
2017-07-28	333210	37077127	49081496	17789156
2017-07-29	340592	37204975	49154302	17815709
2017-07-30	299895	37182452	49187865	17824987
2017-07-31	374656	37187302	49217263	17834713
2017-08-01	399245	37265036	49308706	17872798
2017-08-02	367824	37357914	49395713	17900741
2017-08-03	399865	37503277	49485464	17937847
2017-08-04	479382	37655610	49548039	17955141
2017-08-05	346687	37717394	49640710	17983120
2017-08-06	428206	37830148	49696567	17999430
2017-08-07	382976	37889443	49724640	18009321
2017-08-08	410576	37915023	49769123	18027026
2017-08-09	515558	37903507	49766333	18037157
2017-08-10	528171	37961155	49834509	18055409
2017-08-11	491419	37991074	49917675	18079688
2017-08-12	458885	38001843	50000316	18102359
2017-08-13	341062	37928515	50055026	18116599
2017-08-14	454686	37937438	50076337	18126531
2017-08-15	539306	38023557	50124755	18150327
2017-08-16	537747	38136448	50180232	18170760
2017-08-17	545718	38268640	50278234	18199521
2017-08-18	530488	38491264	50406510	18233428
2017-08-19	577267	38642806	50545517	18270450
2017-08-20	511643	38748881	50594098	18285977
2017-08-21	663142	38996158	50611912	18293968
2017-08-22	564145	39160982	50698236	18320912
2017-08-23	555936	39266066	50811102	18355291
2017-08-24	552254	39380528	50932361	18394667
2017-08-25	601837	39589147	51075452	18426656
2017-08-26	649771	39975800	51176686	18456033
2017-08-27	683742	40379837	51229857	18472508
2017-08-28	646719	40689535	51221493	18486379
2017-08-29	455442	40820465	51319154	18517315
2017-08-30	355253	40796327	51460646	18553449
2017-08-31	352014	40806832	51603525	18597715
2017-09-01	400955	40892166	51724493	18633554
2017-09-02	452540	41002958	51831339	18661994
2017-09-03	336413	41019634	51891200	18676645
2017-09-04	363411	41054044	51933703	18688157
2017-09-05	442338	41092925	52025539	18713889
2017-09-06	371188	41128886	52144644	18746863
2017-09-07	410731	41188725	52248332	18778568
2017-09-08	521172	41251355	52369148	18816783
2017-09-09	417686	41231888	52482959	18852034
2017-09-10	507624	41276675	52516640	18856875
2017-09-11	544613	41358556	52521519	18862931
2017-09-12	522275	41353381	52593677	18900016
2017-09-13	489668	41359397	52734805	18939832
2017-09-14	488212	41381742	52855266	18976190
2017-09-15	485290	41347495	52972038	19014388
2017-09-16	491344	41302825	53079899	19041792
2017-09-17	426721	41188261	53092054	19039401
2017-09-18	521815	41136884	53121386	19049861
2017-09-19	506373	41082427	53197915	19084601
2017-09-20	441388	40905684	53359029	19129890
2017-09-21	513191	40845236	53526315	19176301
2017-09-22	521361	40835462	53646420	19213753
2017-09-23	519246	40821052	53712688	19241481
2017-09-24	494785	40810170	53776312	19258192
2017-09-25	499809	40840557	53813608	19267447
2017-09-26	573049	40827901	53927437	19304181
2017-09-27	445316	40693129	54011406	19327051
2017-09-28	416826	40745755	54166925	19386877
2017-09-29	451709	40880241	54310121	19443159
2017-09-30	412329	41024354	54460007	19498181
2017-10-01	405813	41127194	54526941	19525997
2017-10-02	471495	41262524	54569916	19541896
2017-10-03	514843	41438812	54680888	19578979
2017-10-04	436177	41587316	54801937	19620844
2017-10-05	515378	41739574	54934009	19662298
2017-10-06	445902	41878435	55068065	19704106
2017-10-07	458706	42015364	55183152	19743552
2017-10-08	509778	41978701	55228140	19755433
2017-10-09	475650	41956840	55254117	19763242
2017-10-10	539528	42012436	55331676	19792897
2017-10-11	620773	42147693	55532818	19887078
2017-10-12	558724	42319742	55711828	19951279
2017-10-13	476786	42366056	55812305	19984148
2017-10-14	542192	42511258	55892783	20013441
2017-10-15	567562	42655784	55933589	20028623
2017-10-16	568076	42776522	55980513	20043405
2017-10-17	583780	42924307	56095663	20081345
2017-10-18	609903	43105884	56219006	20123927
2017-10-19	721851	43447182	56332885	20163931
2017-10-20	639098	43596374	56462231	20208117
2017-10-21	595086	43798709	56593224	20247557
2017-10-22	569228	43923030	56664650	20267008
2017-10-23	590354	44044034	56704546	20278403
2017-10-24	687051	44217108	56817985	20316389
2017-10-25	768339	44564410	56935311	20363305
2017-10-26	811664	45042568	57055600	20404859
2017-10-27	697986	45399616	57184819	20442624
2017-10-28	498284	45597624	57347313	20500816
2017-10-29	380483	45603018	57409855	20517275
2017-10-30	399472	45602824	57448058	20530388
2017-10-31	468245	45702967	57561442	20573722
2017-11-01	472243	45775024	57711874	20632671
2017-11-02	514844	45810073	57920887	20718761
2017-11-03	405782	45868778	58093405	20772802
2017-11-04	494892	45934895	58365304	20852787
2017-11-05	378759	45930336	58431435	20874117
2017-11-06	465858	45985168	58509886	20906480
2017-11-07	608024	46077472	58746127	21005685
2017-11-08	463368	46012229	58860662	21046501
2017-11-09	560254	46080535	59010480	21096700
